franchise_id,franchise,wins
SFG,"San Francisco Giants",11382
LAD,"Los Angeles Dodgers",11234
CHC,"Chicago Cubs",11161
STL,"St. Louis Cardinals",11131
ATL,"Atlanta Braves",10921
CIN,"Cincinnati Reds",10775
NYY,"New York Yankees",10720
PIT,"Pittsburgh Pirates",10687
PHI,"Philadelphia Phillies",10022
BOS,"Boston Red Sox",9796
CLE,"Cleveland Indians",9684
DET,"Detroit Tigers",9512
CHW,"Chicago White Sox",9492
OAK,"Oakland Athletics",9210
MIN,"Minnesota Twins",9090
BAL,"Baltimore Orioles",8928
ANA,"Los Angeles Angels of Anaheim",4885
HOU,"Houston Astros",4831
NYM,"New York Mets",4652
TEX,"Texas Rangers",4650
MIL,"Milwaukee Brewers",4123
WSN,"Washington Nationals",4123
KCR,"Kansas City Royals",4066
SDP,"San Diego Padres",3952
TOR,"Toronto Blue Jays",3598
SEA,"Seattle Mariners",3426
COL,"Colorado Rockies",2201
FLA,"Florida Marlins",2157
ARI,"Arizona Diamondbacks",1914
TBD,"Tampa Bay Rays",1912
BLO,"Baltimore Orioles",1133
LOU,"Louisville Colonels",993
CLV,"Cleveland Spiders",827
PHA,"Philadelphia Athletics",633
WAS,"Washington Senators",454
PRO,"Providence Grays",438
DTN,"Detroit Wolverines",426
BUF,"Buffalo Bisons",314
NYP,"New York Metropolitans",270
CBL,"Cleveland Blues",242
BNA,"Boston Red Stockings",225
CLS,"Columbus Solons",200
BRS,"Boston Reds",174
CHH,"Chicago Whales",173
SLM,"St. Louis Maroons",173
NEW,"Newark Pepper",168
PNA,"Philadelphia Athletics",165
WNL,"Washington Nationals",163
BFL,"Buffalo Bisons",154
NNA,"New York Mutuals",151
PBS,"Pittsburgh Rebels",150
SLI,"St. Louis Terriers",149
KCP,"Kansas City Packers",148
BTT,"Brooklyn Tip-Tops",147
IND,"Indianapolis Hoosiers",146
TRT,"Troy Trojans",134
BLT,"Baltimore Terrapins",131
CNR,"Cincinnati Reds",125
PWS,"Philadelphia White Stockings",102
CBK,"Columbus Buckeyes",101
KCC,"Kansas City Cowboys",98
WOR,"Worcester Ruby Legs",90
BLC,"Baltimore Canaries",78
HAR,"Hartford Dark Blues",78
CNA,"Chicago White Stockings",77
BWW,"Brooklyn Ward's Wonders",76
CHP,"Chicago Pirates",75
NYI,"New York Giants",74
SBS,"St. Louis Brown Stockings",73
HNA,"Hartford Dark Blues",70
COR,"Cincinnati Outlaw Reds",69
PHQ,"Philadelphia Athletics",68
TLM,"Toledo Maumees",68
LGR,"Louisville Grays",65
ROC,"Rochester Broncos",63
PBB,"Pittsburgh Burghers",60
BLU,"Baltimore Monumentals",58
BRD,"Boston Reds",58
CLI,"Cleveland Infants",55
SYS,"Syracuse Stars",55
BRA,"Brooklyn Atlantics",50
WNA,"Washington Nationals",47
TOL,"Toledo Blue Stockings",46
CKK,"Cincinnati Kelly's Killers",43
CPI,"Chicago/Pittsburgh (Union League)",41
SNA,"St. Louis Brown Stockings",39
BFB,"Buffalo Bisons",36
KCN,"Kansas City Cowboys",30
IHO,"Indianapolis Hoosiers",29
TRO,"Troy Haymakers",28
BRG,"Brooklyn Gladiators",26
IBL,"Indianapolis Blues",24
SYR,"Syracuse Stars",22
MLA,"Milwaukee Brewers",21
NYU,"New York Mutuals",21
PHK,"Philadelphia Keystones",21
OLY,"Washington Olympics",17
CFC,"Cleveland Forest Citys",16
KCU,"Kansas City Cowboys",16
MLG,"Milwaukee Grays",15
ATH,"Philadelphia Athletics",14
RIC,"Richmond Virginians",12
WST,"Washington Statesmen",12
MLU,"Milwaukee Brewers",8
WBL,"Washington Blue Legs",8
KEK,"Fort Wayne Kekiongas",7
NHV,"New Haven Elm Citys",7
ALT,"Altoona Mountain City",6
MAN,"Middletown Mansfields",5
WNT,"Washington Nationals",5
ROK,"Rockford Forest Citys",4
SLR,"St. Louis Red Stockings",4
ECK,"Brooklyn Eckfords",3
CEN,"Philadelphia Centennials",2
RES,"Elizabeth Resolutes",2
STP,"St. Paul Apostles",2
WIL,"Wilmington Quicksteps",2
WES,"Keokuk Westerns",1
MAR,"Baltimore Marylands",0
NAT,"Washington Nationals",0
